,link,dep_day,dep_time,dep_city,dep_lat,dep_long,dep_addr,arr_city,arr_lat,arr_long,arr_addr,price,distance,seatsleft,seats,trip_id,stops,bookmode,booktype
274,https://www.blablacar.it/passaggio-milano-ceriale-771424440,2017-03-31,19:50:00,Milano,45.4360004,9.1664958,"Famagosta M2, 20142 Milano, Italia",Ceriale,44.098944,8.2341483,Stazione di Ceriale,16.5,200,4,4,771424440-milano-ceriale,"[Milano, Ceriale]",auto,online
275,https://www.blablacar.it/passaggio-milano-padova-ovest-padova-769612170,2017-03-31,19:50:16,Milano,45.4654219,9.1859243,"Milano, Italia","Padova Ovest, Padova",45.446386,11.862461,"Padova Ovest, Padova",17.5,233,2,3,769612170-milano-padova-ovest-padova,"[Bellinzona, Milano]",auto,online
276,https://www.blablacar.it/passaggio-milano-borno-769933025,2017-03-31,20:00:00,Milano,45.4958746,9.1386971,"Viale Certosa, Milano, MI",Borno,45.9463171,10.1991177,"Borno, BS",5.5,127,2,2,769933025-milano-borno,"[Milano, Borno]",manual,online
277,https://www.blablacar.it/passaggio-milano-parma-771325090,2017-03-31,20:00:00,Milano,45.437728,9.168557,"Famagosta M2, 20142 Milano, Italia",Parma,44.8096943,10.3278035,"Stazione ferroviaria, Parma",6.5,127,3,3,771325090-milano-parma,"[Milano, Parma]",manual,online
278,https://www.blablacar.it/passaggio-milano-parma-771722325,2017-03-31,20:00:00,Milano,45.4654219,9.1859243,"Milano, MI",Parma,44.801485,10.3279036,"Parma, PR",7.5,128,2,2,771722325-milano-parma,"[Milano, Parma, Firenze]",auto,online
279,https://www.blablacar.it/passaggio-milano-chiavari-771947590,2017-03-31,20:00:00,Milano,45.4372427,9.1681331,"Famagosta, 20142 Milano, Italia",Chiavari,44.312944,9.328077,"Q8 Carburanti - Corso Vincenzo De Michiel, Chiavari",12.0,171,3,3,771947590-milano-chiavari,"[Milano, Chiavari]",auto,online
280,https://www.blablacar.it/passaggio-milano-aosta-771861665,2017-03-31,20:00:00,Milano,45.47903,9.1443735,"Lotto M1-M5, Milano",Aosta,45.7343526,7.3223231,"Stazione di Aosta, Aosta",13.0,179,1,1,771861665-milano-aosta,"[Milano, Aosta]",manual,online
281,https://www.blablacar.it/passaggio-milano-vicenza-771059470,2017-03-31,20:00:00,Milano,45.4654219,9.1859243,"Milano, MI",Vicenza,45.5454787,11.5354214,"Vicenza, VI",14.0,207,2,3,771059470-milano-vicenza,"[Milano, Vicenza]",auto,online
282,https://www.blablacar.it/passaggio-milano-cesena-766935620,2017-03-31,20:00:00,Milano,45.4654219,9.1859243,"Milano, Italia",Cesena,44.1396438,12.2464292,"Cesena FC, Italia",16.5,305,2,2,766935620-milano-cesena,"[Robecco Sul Naviglio, Milano, Cesena, Pesaro]",auto,online
283,https://www.blablacar.it/passaggio-milano-forli-770597205,2017-03-31,20:00:00,Milano,45.437728882,9.168557167,"Famagosta M2, 20142 Milano, Italia",Forlì,44.222740173,12.04073143,"Forlì FC, Italia",17.5,289,1,2,770597205-milano-forli,"[Milano, Forlì, Aspio Terme]",auto,online
