,Unnamed: 0,link,dep_day,dep_time,dep_city,dep_lat,dep_long,dep_addr,arr_city,arr_lat,arr_long,arr_addr,price,distance,seatsleft,seats,trip_id,stops,bookmode,booktype
1512,1512,https://www.blablacar.it/passaggio-milano-ferno-704511763,2017-01-09,07:20:00,Milano,45.476165771,9.136890411,"San Siro, Milano, MI",Ferno,45.646823883,8.723361969,"Malpensa Terminal 2, Ferno, VA",3.0,44,1,1,704511763-milano-ferno,"[Milano, Ferno]",none,no_booking
1513,1513,https://www.blablacar.it/passaggio-milano-aeroporto-di-orio-al-serio-via-aeroporto-orio-al-serio-bg-italia-717033064,2017-01-09,07:20:48,Milano,45.4680184,9.1561936,"Wagner M1, Milano, MI, Italia","Aeroporto di Orio al Serio, Via Aeroporto, Orio al Serio, BG, It",45.6695707,9.7036313,"Aeroporto di Orio al Serio, Via Aeroporto, Orio al Serio, BG, It",3.0,58,3,3,717033064-milano-aeroporto-di-orio-al-serio-via-aeroporto-orio-al-serio-bg-italia,[Milano],none,no_booking
1514,1514,https://www.blablacar.it/passaggio-milano-vermezzo-699383827,2017-01-09,07:30:00,Milano,45.437214,9.1928583,"Via Antonini, 32, Milano, MI, Italia",Vermezzo,45.3960293,8.9786178,"Vermezzo, MI, Italia",1.0,25,4,4,699383827-milano-vermezzo,"[Milano, Vermezzo]",none,no_booking
1515,1515,https://www.blablacar.it/passaggio-milan-cantu-710669679,2017-01-09,07:30:00,Milano,45.4654219,9.1859243,"Milan, Italie",Cantù,45.7378786,9.1434343,"Cantù, Côme, Italie",2.0,42,3,3,710669679-milan-cantu,"[Milano, Cantù]",none,no_booking
1516,1516,https://www.blablacar.it/passaggio-milano-bergamo-703864888,2017-01-09,07:30:00,Milano,45.4807629,9.2239914,"Piazzale Gabrio Piola, Milano, Italia",Bergamo,45.6982642,9.6772698,"Bergamo BG, Italia",3.0,50,2,2,703864888-milano-bergamo,"[Milano, Bergamo]",none,no_booking
1517,1517,https://www.blablacar.it/passaggio-milano-aeroporto-internazionale-di-orio-al-serio-bgy-via-aeroporto-653239828,2017-01-09,07:30:53,Milano,45.4654219,9.1859243,"Milano, Italia","Aeroporto Internazionale di Orio al Serio (BGY), Via Aeroporto, ",45.6695707,9.7036313,"Aeroporto Internazionale di Orio al Serio (BGY), Via Aeroporto, ",3.0,52,3,3,653239828-milano-aeroporto-internazionale-di-orio-al-serio-bgy-via-aeroporto,[Milano],none,no_booking
1518,1518,https://www.blablacar.it/passaggio-milano-costa-masnaga-696874350,2017-01-09,07:40:00,Milano,45.4761671,9.1368904,"San Siro, Milano, MI",Costa Masnaga,45.7656615,9.2761754,"Costa Masnaga, LC",2.0,45,4,4,696874350-milano-costa-masnaga,"[Milano, Costa Masnaga]",none,no_booking
1519,1519,https://www.blablacar.it/passaggio-milano-milano-1-703183508,2017-01-09,08:00:00,Milano,45.4369176,9.2127697,"Via Marco D'Agrate, 20139 Milano, Italia",Milano,45.4654219,9.1859243,"Milano, Italia",1.0,6,1,1,703183508-milano-milano-1,[Milano],none,no_booking
1520,1520,https://www.blablacar.it/passaggio-milano-3-milano-4-693532348,2017-01-09,08:10:00,Milano,45.4858877,9.2042827,"Stazione Centrale di Milano, Milano, MI",Milano,45.4861631,9.2163838,"Piazzale Loreto, Milano, MI",1.0,2,3,3,693532348-milano-3-milano-4,[Milano],none,no_booking
1521,1521,https://www.blablacar.it/passaggio-milano-bergamo-693222118,2017-01-09,08:20:00,Milano,45.46549,9.18588,"Milano, MI",Bergamo,45.6982642,9.6772698,"Bergamo, BG",3.0,52,4,4,693222118-milano-bergamo,"[Milano, Bergamo]",none,no_booking
1522,1522,https://www.blablacar.it/passaggio-milano-bresso-707000033,2017-01-09,08:30:00,Milano,45.46549,9.18588,"Milano, MI",Bresso,45.5391048,9.1903928,"Bresso, MI",1.0,13,4,4,707000033-milano-bresso,"[Milano, Bresso, Sesto Calende]",none,no_booking
1523,1523,https://www.blablacar.it/passaggio-milano-nibionno-713512199,2017-01-09,08:30:00,Milano,45.4836397,9.1867424,"Garibaldi Fs, 20124 Milano, Italia",Nibionno,45.7487463,9.269818,"23895 Nibionno LC, Italia",3.0,35,4,4,713512199-milano-nibionno,"[Milano, Nibionno]",none,no_booking
1524,1524,https://www.blablacar.it/passaggio-milano-milano-1-669479968,2017-01-09,08:40:00,Milano,45.4791423,9.1431042,"Zona Lotto, Milano, Italia",Milano,45.4762531,9.1378586,"Segesta, Milano, MI",1.0,1,1,1,669479968-milano-milano-1,"[Saronno, Milano]",none,no_booking
