,dep_day,dep_time,dep_city,dep_lat,dep_long,dep_addr,arr_city,arr_lat,arr_long,arr_addr,price,distance,seatsleft,seats,trip_id,stops,bookmode,booktype,arr_city_name,duration,recommended_price,country_code
2354,2017-02-11,13:00:40,Milano,45.4654219,9.1859243,"Milano, Italia",Como,45.8080597,9.0851765,"22100 Como CO, Italia",5.5,52,1,3,742851950-milano-como,"[Bologna, Milano, Como, Minusio]",manual,online,como,4200,2,IT
2355,2017-02-11,13:00:56,Milano,45.4654219,9.1859243,"Milano, Italia",Padova,45.416793823,11.881027222,"Stazione Centrale, Padova",13.0,238,1,2,742846550-milano-padova,"[Milano, Padova]",manual,online,padova,11400,13,IT
2356,2017-02-11,13:10:00,Milano,45.465423584,9.18592453,"Milano, Italia",Santhià,45.366905212,8.171388626,"13048 Santhià VC, Italia",7.5,96,1,2,735368895-milano-santhia,"[Pescara, Milano, Santhià, Biella]",manual,online,santhià,5400,5,IT
2357,2017-02-11,13:10:29,Milano,45.4654219,9.1859243,Milan,Genova,44.4056499,8.946256,"Genoa, Italy",13.0,148,2,3,740452105-milan-genoa,"[Lugano, Milano, Genova]",manual,online,genova,9000,8,IT
2358,2017-02-11,13:20:00,Milano,45.4654219,9.1859243,"Milano, MI",Modena,44.647128,10.9252269,"Modena, MO",10.5,179,3,3,741932215-milano-modena,"[Ardenno, Milano, Modena, Sassuolo]",manual,online,modena,9000,9,IT
2359,2017-02-11,13:30:00,Milano,45.4654219,9.1859243,"Milano, Italia",Romagnano Sesia,45.6347098,8.3816172,"28078 Romagnano Sesia NO, Italia",5.5,85,3,3,739750600-milano-romagnano-sesia,"[Colle Di Val D'elsa, Milano, Romagnano Sesia]",auto,online,romagnano sesia,4800,4,IT
2360,2017-02-11,13:30:00,Milano,45.437728,9.168557,"Famagosta M2, Milano, MI",Genova,44.4168921,8.9215322,"Genova Piazza Principe, Genova, GE",12.0,138,2,3,738004480-milano-genova,"[Milano, Genova]",auto,online,genova,9000,8,IT
2361,2017-02-11,13:30:00,Milano,45.447685,9.1830207,"Via Odoardo Tabacchi, Milano, MI",Forlì,44.249176,12.084189,"Uscita A14 (casello), Forlì",17.5,279,2,2,741802105-milano-forli,"[Milano, Forlì]",auto,online,forlì,12600,15,IT
2362,2017-02-11,13:30:31,Milano,45.4502924,9.1385044,"Via Lorenteggio, 157, 20146 Milano, Italia",Bolgare,45.6340243,9.8138918,"24060 Bolgare BG, Italia",5.5,74,3,3,741304210-milano-bolgare,"[Milano, Bolgare]",manual,online,bolgare,4200,3,IT
2363,2017-02-11,13:50:18,Milano,45.4839709,9.2060969,"Centrale, Milano, Italia",Verona,45.429272,10.981383,"Porta Nuova, Verona",8.5,158,2,2,738355195-milano-verona,"[Appiano Gentile, Milano, Verona]",manual,online,verona,8400,8,IT
2364,2017-02-11,14:00:00,Milano,45.4469355,9.2106209,"Corso Lodi, 40-44, 20135 Milano, Italia",Verona,45.43838501,10.991621971,Verona,8.5,166,1,3,742672065-milano-verona,"[Milano, Verona, Padova]",manual,online,verona,8400,8,IT
2365,2017-02-11,14:00:00,Milano,45.4795257,9.1435048,"Lotto, Milano, MI",Reggio Emilia,44.6989932,10.6296859,"Reggio Emilia, RE",10.5,169,2,4,741023730-milano-reggio-emilia,"[Milano, Reggio Emilia]",auto,online,reggio emilia,7200,8,IT
2366,2017-02-11,14:00:00,Milano,45.4654219,9.1859243,"Milano, Italia",Alba,44.7009153,8.0356911,"12051 Alba CN, Italia",10.5,155,1,2,739429110-milano-alba,"[Milano, Alba, Bra]",auto,online,alba,8400,8,IT
