,Unnamed: 0,link,dep_day,dep_time,dep_city,dep_lat,dep_long,dep_addr,arr_city,arr_lat,arr_long,arr_addr,price,distance,seatsleft,seats,trip_id,stops,bookmode,booktype,arr_city_name
4779,4779,https://www.blablacar.it/passaggio-milano-orio-al-serio-767395215,2017-03-27,19:20:00,Milano,45.4654219,9.1859243,"Milano, Italia",Orio Al Serio,45.6739099,9.6889593,"Orio al Serio BG, Italia",5.5,50,1,3,767395215-milano-orio-al-serio,"[Basilea, Milano, Orio Al Serio, Perugia]",auto,online,Orio Al Serio
4780,4780,https://www.blablacar.it/passaggio-milano-modena-770013280,2017-03-27,19:40:00,Milano,45.4771893,9.2349088,"Milano, Via Bernardo Ugo Secondo 2",Modena,44.6446358,10.9309401,"Modena, Viale Caduti in Guerra 1",7.5,178,2,2,770013280-milano-modena,"[Milano, Modena]",manual,online,Modena
4781,4781,https://www.blablacar.it/passaggio-milano-trento-767855160,2017-03-27,20:00:18,Milano,45.4806204,9.2250801,"Via Francesco d'Ovidio, 3, 20131 Milano, Italia",Trento,46.072057,11.119602,"Stazione ferroviaria, Trento",15.0,221,1,3,767855160-milano-trento,"[Milano, Trento]",manual,online,Trento
4782,4782,https://www.blablacar.it/passaggio-milano-savona-766113015,2017-03-27,20:10:00,Milano,45.437728,9.168557,"Famagosta M2, Milano, MI",Savona,44.3099173,8.4847601,"Piazza Leon Pancaldo, Savona, SV",12.0,164,1,3,766113015-milano-savona,"[Milano, Savona]",auto,online,Savona
4783,4783,https://www.blablacar.it/passaggio-milano-genova-770213000,2017-03-27,20:30:00,Milano,45.437728,9.168557,"Famagosta M2, 20142 Milano, Italia",Genova,44.4263523,8.9487779,"SS45, 16137 Genova, Italia",8.5,139,2,2,770213000-milano-genova,"[Milano, Genova, Sestri Levante]",auto,online,Genova
4784,4784,https://www.blablacar.it/passaggio-milano-bellaria-768657055,2017-03-27,20:30:00,Milano,45.48548,9.238142,Lambrate M2,Bellaria,44.1502229,12.4612131,Stazione Bellaria,19.5,320,1,2,768657055-milano-bellaria,"[Milano, Bellaria]",manual,online,Bellaria
4785,4785,https://www.blablacar.it/passaggio-milano-cossato-768043425,2017-03-27,20:40:00,Milano,45.4372427,9.1681331,"Famagosta, Milano, MI",Cossato,45.5668371,8.175544,"Cossato, BI",7.5,106,3,3,768043425-milano-cossato,"[Siena, Milano, Cossato]",manual,online,Cossato
4786,4786,https://www.blablacar.it/passaggio-milano-baar-766289040,2017-03-27,20:40:00,Milano,45.437728,9.168557,"Famagosta M2, Milano, MI",Baar,47.1953729,8.526087,"Baar, Svizzera",25.0,269,4,4,766289040-milano-baar,"[Genova, Milano, Baar]",auto,online,Baar
4787,4787,https://www.blablacar.it/passaggio-milano-losanna-768991625,2017-03-27,20:50:49,Milano,45.4654219,9.1859243,"Milano, Italia",Losanna,46.5196535,6.6322734,"Losanna, Svizzera",28.5,327,1,2,768991625-milano-losanna,"[Fano, Milano, Losanna]",manual,online,Losanna
4788,4788,https://www.blablacar.it/passaggio-milano-brescia-763051820,2017-03-27,21:00:00,Milano,45.4654219,9.1859243,"Milano, Italia",Brescia,45.5415526,10.2118019,"Brescia BS, Italia",6.5,96,3,3,763051820-milano-brescia,"[Milano, Brescia]",manual,online,Brescia
4789,4789,https://www.blablacar.it/passaggio-milano-peschiera-del-garda-766852335,2017-03-27,21:30:03,Milano,45.4654219,9.1859243,"Milano, Italia",Peschiera Del Garda,45.4396385,10.6865449,"37019 Peschiera del Garda VR, Italia",9.5,137,4,4,766852335-milano-peschiera-del-garda,"[Como, Milano, Peschiera Del Garda, Trento]",manual,online,Peschiera Del Garda
4790,4790,https://www.blablacar.it/passaggio-milano-la-spezia-769619035,2017-03-27,22:00:00,Milano,45.4409167,9.2226184,"Corvetto M3, 20139 Milano, Italia",La Spezia,44.102451324,9.824082375,"La Spezia SP, Italia",15.0,217,2,3,769619035-milano-la-spezia,"[Milano, La Spezia]",manual,online,La Spezia
4791,4791,https://www.blablacar.it/passaggio-milano-sesto-calende-762787745,2017-03-27,22:00:01,Milano,45.4800336,9.142841,"Piazzale Lorenzo Lotto, Milano, Italia",Sesto Calende,45.726151,8.629182,"Sesto Calende Stazione FS., 21018 Sesto Calende VA, Italia",3.0,53,3,3,762787745-milano-sesto-calende,"[Milano, Sesto Calende]",manual,online,Sesto Calende
4792,4792,https://www.blablacar.it/passaggio-milano-malpensa-terminal-2-mxp-t2-21019-somma-lombardo-va-italia-769730765,2017-03-27,22:10:49,Milano,45.4861631,9.2163838,"Piazzale Loreto, Milano, Italia","Malpensa - Terminal 2 - MXP T2, 21019 Somma lombardo VA, Italia",45.6489899,8.7227449,"Malpensa - Terminal 2 - MXP T2, 21019 Somma lombardo VA, Italia",5.5,49,3,3,769730765-milano-malpensa-terminal-2-mxp-t2-21019-somma-lombardo-va-italia,"[Trieste, Milano]",manual,online,Ferno
4793,4793,https://www.blablacar.it/passaggio-milano-torino-762142440,2017-03-27,22:30:00,Milano,45.465423584,9.18592453,"Milano, Italia",Torino,45.070312,7.6868565,"Torino, Italia",8.5,145,3,3,762142440-milano-torino,"[Luino, Milano, Torino, Hyères]",auto,online,Torino
4794,4794,https://www.blablacar.it/passaggio-milano-genova-770400095,2017-03-27,23:30:00,Milano,45.4858877,9.2042827,"Milano Centrale, Piazza Duca d'Aosta, 1, 20124 Milano, Italia",Genova,44.4066382,8.9468423,"Genova Brignole, Piazza Giuseppe Verdi, 2, 16121 Genova, Italia",8.5,146,1,3,770400095-milano-genova,"[Milano, Genova]",auto,online,Genova
4795,4795,https://www.blablacar.it/passaggio-milano-treviso-767285430,2017-03-27,23:30:00,Milano,45.4669958,9.1814791,"Via S. Giovanni sul Muro, 2, 20121 Milano, Italia",Treviso,45.660196,12.246332,"Stazione Centrale, Treviso",14.0,293,3,3,767285430-milano-treviso,"[Milano, Treviso]",manual,online,Treviso
4796,4796,https://www.blablacar.it/passaggio-milano-modena-122284272,2017-03-27,00:15:44,Milano,45.4654219,9.1859243,"Milano, Italia",Modena,44.6488366,10.9200867,"Modena MO, Italia",9.0,172,4,4,122284272-milano-modena,"[Milano, Modena]",none,no_booking,Modena
4797,4797,https://www.blablacar.it/passaggio-milano-novegro-tregarezzo-717656844,2017-03-27,21:00:00,Milano,45.4829433,9.1489653,"Malpensa Shuttle, Viale Teodorico, Milano, MI",Novegro-Tregarezzo,45.4616677,9.2766397,"Aeroporto di Milano Linate, Novegro-Tregarezzo, MI",1.0,30,3,3,717656844-milano-novegro-tregarezzo,"[Milano, Novegro-Tregarezzo]",none,no_booking,Novegro-Tregarezzo
4798,4798,https://www.blablacar.it/passaggio-milano-brescia-768655935,2017-03-28,01:00:00,Milano,45.4681785,9.1826711,"Largo Cairoli, 20121 Milano, Italia",Brescia,45.5415526,10.2118019,"Brescia BS, Italia",6.5,104,3,3,768655935-milano-brescia,"[Milano, Brescia, Bassano Del Grappa]",manual,online,Brescia
4799,4799,https://www.blablacar.it/passaggio-milano-trezzo-sull-adda-769762085,2017-03-28,01:00:54,Milano,45.47903,9.1443735,"Lotto M1-M5, Milano",Trezzo Sull'adda,45.5996789,9.507468,"Via la Torre Pio, 3, 20056 Trezzo sull'Adda MI, Italia",3.0,37,3,3,769762085-milano-trezzo-sull-adda,"[Milano, Trezzo Sull'adda]",manual,online,Trezzo Sull'adda
4800,4800,https://www.blablacar.it/passaggio-milano-bergamo-770496670,2017-03-28,02:30:00,Milano,45.46549,9.18588,"Milano, Italia",Bergamo,45.6982642,9.6772698,"Bergamo, BG",5.5,51,4,4,770496670-milano-bergamo,"[Milano, Bergamo, Ponte Di Legno]",manual,online,Bergamo
4801,4801,https://www.blablacar.it/passaggio-milano-milano-1-770495440,2017-03-28,02:30:25,Milano,45.4873878,9.2152204,"Loreto, Milano, Italia",Milano,45.5018453,9.1980441,"Zona Istria, Milano, Italia",4.0,3,3,3,770495440-milano-milano-1,[Milano],auto,online,Milano
4802,4802,https://www.blablacar.it/passaggio-milano-treviso-769172775,2017-03-28,03:10:00,Milano,45.4654219,9.1859243,Milano,Treviso,45.6668893,12.2430437,Treviso,13.0,286,3,3,769172775-milano-treviso,"[Basilea, Milano, Treviso]",manual,online,Treviso
